"	brewery names	business type	address	city	zip	lat	long	yelp rating	number of yelp reviews",
"125	Blue Note Brewing Company	Breweries	750 Dead Cat Aly	Woodland	95695	38.6779499	-121.7712086	4.5	88",
"126	Blue Oak Brewing Company	Breweries	815 Cherry Ln	San Carlos	94070	37.510186	-122.253044	4.5	64",
"127	BNS Brewing & Distilling	Breweries	10960 Wheatlands Ave	Santee	92071	32.84666	-116.95834	4.0	151",
"128	Bolt Brewery	Breweries	8179 Center St	La Mesa	91942	32.7719692578383	-117.020541742427	4.5	232",
"129	Bonaventure Brewing Company	Breweries	404 S Figueroa St	Los Angeles	90071	34.05256	-118.25601	3.0	387",
"130	Boomtown Brewery	Breweries	700 Jackson St	Los Angeles	90012	34.05081	-118.23311	4.5	354",
"131	Bootlegger's Brewery	Breweries	130 S Highland Ave	Fullerton	92832	33.86963	-117.92845	4.0	762",
"132	Bootlegger's Brewery	Breweries	130 S Highland Ave	Fullerton	92832	33.86963	-117.92845	4.0	762",
"133	Bootlegger's Brewery - Costa Mesa	Breweries	696 Randolph Ave	Costa Mesa	92626	33.6768478	-117.8855811	4.5	52",
"134	Ritual Brewing	Breweries	1315 Research Dr	Redlands	92374	34.0705779334844	-117.23702788353	4.5	237",
"135	Booze Brothers Brewing	Breweries	2545 Progress St	Vista	92081	33.148172	-117.218047	4.5	242",
"136	Border X Brewing	Beer Bar	4400 E Gage Ave	Bell	90201	33.9780149082467	-118.189106807113	4.0	64",
"137	Border X Brewing	Breweries	2181 Logan Ave	San Diego	92113	32.69803	-117.13983	4.5	285",
"138	Border X Brewing	Breweries	2181 Logan Ave	San Diego	92113	32.69803	-117.13983	4.5	285",
"139	Bottle Logic Brewing	Breweries	1072 N Armando St	Anaheim	92806	33.849549	-117.859775	4.5	705",
"140	Bravery Brewing	Breweries	42705 8th St W	Lancaster	93534	34.658707	-118.145998	4.5	139",
"141	Breakwater Brewing Company	Breweries	101 N Coast Hwy	Oceanside	92054	33.1950701	-117.3790501	4.0	558",
"142	Brew Rebellion	Pubs	33 S San Gorgonio Ave	Banning	92220	33.9251480102539	-116.877059936523	4.0	20",
"143	Brewbakers Brewing Company	American (Traditional)	219 E Main St	Visalia	93291	36.3300433818799	-119.290673415935	4.0	390",
"144	Tuscano's & BrewQuinta	Italian	78772 Highway 111	La Quinta	92253	33.71209	-116.29079	4.5	93",
"145	Abigaile	American (New)	1301 Manhattan Ave	Hermosa Beach	90254	33.86325	-118.399528	4.0	1216",
"146	Brewery At Lake Tahoe	Pubs	3542 Lake Tahoe Blvd	South Lake Tahoe	96150	38.94657	-119.96166	3.5	747",
"147	Simmzy's	American (New)	3000 W Olive Ave	Burbank	91505	34.15659	-118.33384	4.0	582",
"148	Brewery Draconum	Brewpubs	24407 Main St	Santa Clarita	91321	34.380673858227	-118.529684990644	4.5	156",
"149	Laguna Beach Beer Company - Rancho Santa Margarita	Breweries	29851 Aventura D	Rancho Santa Margarita	92688	33.63661	-117.60958	4.5	112",
"150	Claremont Craft Ales	Beer"," Wine & Spirits	1420 N Claremont Blvd	Claremont	91711	34.1090511532196	-117.701891014214	4.5	272"
"151	Three Weavers Brewing Co	Breweries	1031 W Manchester Blvd	Inglewood	90301	33.9615419494809	-118.374757488917	4.5	346",
"152	Three Weavers Brewing Co	Breweries	1031 W Manchester Blvd	Inglewood	90301	33.9615419494809	-118.374757488917	4.5	346",
"153	Tilted Mash Brewing	Breweries	9175 Union Park Way	Elk Grove	95624	38.3891154	-121.3606571	4.5	112",
"154	MacLeod Ale Brewing	Breweries	14741 Calvert St	Van Nuys	91411	34.18194	-118.45458	4.5	381",
"155	Del Cielo Brewing Company	Breweries	701 Escobar St	Martinez	94553	38.0183247	-122.1368987	4.0	95",
"156	Sunset Reservoir Brewing Company	American (Traditional)	1735 Noriega St	San Francisco	94122	37.7538401497706	-122.482464055415	3.5	597",
"157	Temescal Brewing	Beer Gardens	4115 Telegraph Ave	Oakland	94609	37.8303327266535	-122.264366671443	4.0	200",
"158	Chapman Crafted Beer	Breweries	123 N Cypress St	Orange	92866	33.7886085601538	-117.856072184024	4.5	124",
"159	Hamilton Family Brewery	Breweries	9757 7th St	Rancho Cucamonga	91730	34.0880476219532	-117.591965138057	4.5	308",
"160	Hamilton Family Brewery	Breweries	9757 7th St	Rancho Cucamonga	91730	34.0880476219532	-117.591965138057	4.5	308",
